자치구,2019.06,2021.01,증감,증감률
강남구,4690,7490,2800,59.70149254
강동구,228,657,429,188.1578947
강북구,110,302,192,174.5454545
강서구,324,839,515,158.9506173
관악구,175,413,238,136
광진구,157,300,143,91.08280255
구로구,194,1016,822,423.7113402
금천구,162,434,272,167.9012346
노원구,199,488,289,145.2261307
도봉구,139,353,214,153.9568345
동대문구,130,313,183,140.7692308
동작구,203,392,189,93.10344828
마포구,261,579,318,121.8390805
서대문구,167,377,210,125.748503
서초구,766,2059,1293,168.7989556
성동구,525,954,429,81.71428571
성북구,210,535,325,154.7619048
송파구,447,1084,637,142.5055928
양천구,237,546,309,130.3797468
영등포구,782,1943,1161,148.4654731
용산구,238,475,237,99.57983193
은평구,175,490,315,180
종로구,158,281,123,77.84810127
중구,251,707,456,181.6733068
중랑구,154,414,260,168.8311688
