자치구,경도,위도
강북구,127.02544,37.639682
강북구,127.022059,37.646859
강북구,127.019807,37.639464
강북구,127.014009,37.617323
강북구,127.019782,37.617083
강서구,126.8495467,37.550965
강서구,126.804242,37.559834
강서구,126.842574,37.534499
강서구,126.855723,37.535321
강서구,126.838768,37.551117
강서구,126.847221,37.561454
구로구,126.83944,37.499131
구로구,126.847884,37.496798
구로구,126.853906,37.494824
구로구,126.853822,37.488887
구로구,126.859391,37.491253
금천구,126.891638,37.474524
금천구,126.896494,37.461205
금천구,126.907839,37.454306
금천구,126.919024,37.449903
동대문구,127.039985,37.5743816
동대문구,127.039728,37.587934
동대문구,127.048507,37.588023
동대문구,127.032399,37.578638
동대문구,127.060874,37.569096
동대문구,127.071104,37.569831
성북구,127.016702,37.5893959
성북구,127.011359,37.592381
성북구,127.016944,37.610007
성북구,127.043289,37.613886
성북구,127.05405,37.616842
영등포구,126.895994,37.526426
영등포구,126.884537,37.521925
영등포구,126.903868,37.530548
영등포구,126.899432,37.524229
영등포구,126.935246,37.519813
은평구,126.929123,37.6027176
은평구,126.929232,37.614115
은평구,126.915008,37.618755
은평구,126.9239,37.625007
중구,126.9975759,37.5638009
중구,127.023159,37.560815
중구,127.014118,37.556854
중구,127.012057,37.551799
중랑구,127.0927827,37.6065191
중랑구,127.074024,37.597211
중랑구,127.076247,37.587827
중랑구,127.090667,37.585357
중랑구,127.099202,37.590133
